index,kx_cart_2pi_over_alat,ky_cart_2pi_over_alat,kz_cart_2pi_over_alat,band_1_ev,band_2_ev,band_3_ev,band_4_ev,fermi_ev
410,0.375,0.875,-0.125,4.7903,6.9156,9.2918,11.4448,7.8018
411,0.25,1.0,-0.25,5.9648,6.4896,7.4341,14.3755,7.8018
412,1.125,0.125,0.625,4.7903,6.9156,9.2918,11.4448,7.8018
413,1.0,0.25,0.5,3.8916,7.5205,8.9825,12.5483,7.8018
414,0.875,0.375,0.375,3.7613,5.8707,10.3622,15.7059,7.8018
415,0.75,0.5,0.25,4.312,4.5595,12.8025,13.2583,7.8018
416,-0.25,-0.25,-0.75,2.8155,7.0881,11.483,14.8566,7.8018
417,-0.375,-0.125,-0.875,4.7903,6.9156,9.2918,11.4448,7.8018
418,-0.5,0.0,-1.0,7.0015,7.0015,8.0199,8.9169,7.8018
419,-0.625,0.125,-1.125,4.7903,6.9156,9.2918,11.4448,7.8018
420,0.25,-0.75,-0.25,2.8155,7.0881,11.483,14.8566,7.8018
421,0.125,-0.625,-0.375,1.6,7.976,12.4019,14.4547,7.8018
422,0.0,-0.5,-0.5,1.1914,9.0794,10.5765,17.2785,7.8018
423,-0.125,-0.375,-0.625,1.6,7.976,12.4019,14.4547,7.8018
424,-0.125,-0.125,-0.625,0.5049,11.0548,13.4053,14.7303,7.8018
425,-0.25,0.0,-0.75,2.2742,10.121,10.8323,11.7088,7.8018
426,-0.375,0.125,-0.875,4.7903,6.9156,9.2918,11.4448,7.8018
427,-0.5,0.25,-1.0,3.8916,7.5205,8.9825,12.5483,7.8018
428,0.375,-0.625,-0.125,1.6,7.976,12.4019,14.4547,7.8018
429,0.25,-0.5,-0.25,0.0932,8.6717,16.3021,17.0303,7.8018
430,0.125,-0.375,-0.375,-0.5974,10.0697,14.4266,19.5556,7.8018
431,0.0,-0.25,-0.5,-0.4592,11.6813,13.074,16.5866,7.8018
432,0.0,0.0,-0.5,-1.0136,15.3153,15.3266,15.3266,7.8018
433,-0.125,0.125,-0.625,0.5049,11.0548,13.4053,14.7303,7.8018
434,-0.25,0.25,-0.75,2.8155,7.0881,11.483,14.8566,7.8018
435,-0.375,0.375,-0.875,3.7613,5.8707,10.3622,15.7059,7.8018
436,0.5,-0.5,0.0,1.1914,9.0794,10.5765,17.2785,7.8018
437,0.375,-0.375,-0.125,-0.5974,10.0697,14.4266,19.5556,7.8018
438,0.25,-0.25,-0.25,-1.5701,11.2687,18.7018,18.7018,7.8018
439,0.125,-0.125,-0.375,-1.7096,13.1258,16.6493,18.1733,7.8018
440,0.125,0.125,-0.375,-1.7096,13.1258,16.6493,18.1733,7.8018
441,0.0,0.25,-0.5,-0.4592,11.6813,13.074,16.5866,7.8018
442,-0.125,0.375,-0.625,1.6,7.976,12.4019,14.4547,7.8018
443,-0.25,0.5,-0.75,4.312,4.5595,12.8025,13.2583,7.8018
444,0.625,-0.375,0.125,1.6,7.976,12.4019,14.4547,7.8018
445,0.5,-0.25,0.0,-0.4592,11.6813,13.074,16.5866,7.8018
446,0.375,-0.125,-0.125,-1.7096,13.1258,16.6493,18.1733,7.8018
447,0.25,0.0,-0.25,-2.1289,14.2719,15.501,21.5185,7.8018
448,0.125,0.125,-0.125,-2.8306,16.1289,19.4677,19.4677,7.8018
449,0.0,0.25,-0.25,-2.1289,14.2719,15.501,21.5185,7.8018
450,-0.125,0.375,-0.375,-0.5974,10.0697,14.4266,19.5556,7.8018
451,-0.25,0.5,-0.5,1.7376,6.0426,14.5263,17.7646,7.8018
452,0.625,-0.375,0.375,2.6858,4.8512,15.4059,16.6736,7.8018
453,0.5,-0.25,0.25,0.0932,8.6717,16.3021,17.0303,7.8018
454,0.375,-0.125,0.125,-1.7096,13.1258,16.6493,18.1733,7.8018
455,0.25,0.0,0.0,-2.6899,17.7115,17.7115,17.9822,7.8018
456,0.25,0.25,0.0,-2.1289,14.2719,15.501,21.5185,7.8018
457,0.125,0.375,-0.125,-1.7096,13.1258,16.6493,18.1733,7.8018
458,0.0,0.5,-0.25,-0.4592,11.6813,13.074,16.5866,7.8018
459,-0.125,0.625,-0.375,1.6,7.976,12.4019,14.4547,7.8018
460,0.75,-0.25,0.5,4.312,4.5595,12.8025,13.2583,7.8018
461,0.625,-0.125,0.375,1.6,7.976,12.4019,14.4547,7.8018
462,0.5,0.0,0.25,-0.4592,11.6813,13.074,16.5866,7.8018
463,0.375,0.125,0.125,-1.7096,13.1258,16.6493,18.1733,7.8018
464,0.375,0.375,0.125,-0.5974,10.0697,14.4266,19.5556,7.8018
465,0.25,0.5,0.0,-0.4592,11.6813,13.074,16.5866,7.8018
466,0.125,0.625,-0.125,0.5049,11.0548,13.4053,14.7303,7.8018
467,0.0,0.75,-0.25,2.2742,10.121,10.8323,11.7088,7.8018
468,0.875,-0.125,0.625,4.7903,6.9156,9.2918,11.4448,7.8018
469,0.75,0.0,0.5,3.8916,7.5205,8.9825,12.5483,7.8018
470,0.625,0.125,0.375,1.6,7.976,12.4019,14.4547,7.8018
471,0.5,0.25,0.25,0.0932,8.6717,16.3021,17.0303,7.8018
472,0.5,0.5,0.25,1.7376,6.0426,14.5263,17.7646,7.8018
473,0.375,0.625,0.125,1.6,7.976,12.4019,14.4547,7.8018
474,0.25,0.75,0.0,2.2742,10.121,10.8323,11.7088,7.8018
475,0.125,0.875,-0.125,3.7269,8.2117,10.0447,13.7707,7.8018
476,1.0,0.0,0.75,5.4472,6.7821,9.6005,11.0981,7.8018
477,0.875,0.125,0.625,4.7903,6.9156,9.2918,11.4448,7.8018
478,0.75,0.25,0.5,4.312,4.5595,12.8025,13.2583,7.8018
479,0.625,0.375,0.375,2.6858,4.8512,15.4059,16.6736,7.8018
480,-0.375,-0.375,-0.625,2.6858,4.8512,15.4059,16.6736,7.8018
481,-0.5,-0.25,-0.75,4.312,4.5595,12.8025,13.2583,7.8018
482,-0.625,-0.125,-0.875,4.7903,6.9156,9.2918,11.4448,7.8018
483,-0.75,0.0,-1.0,5.4472,6.7821,9.6005,11.0981,7.8018
484,0.125,-0.875,-0.125,3.7269,8.2117,10.0447,13.7707,7.8018
485,0.0,-0.75,-0.25,2.2742,10.121,10.8323,11.7088,7.8018
486,-0.125,-0.625,-0.375,1.6,7.976,12.4019,14.4547,7.8018
487,-0.25,-0.5,-0.5,1.7376,6.0426,14.5263,17.7646,7.8018
488,-0.25,-0.25,-0.5,0.0932,8.6717,16.3021,17.0303,7.8018
489,-0.375,-0.125,-0.625,1.6,7.976,12.4019,14.4547,7.8018
490,-0.5,0.0,-0.75,3.8916,7.5205,8.9825,12.5483,7.8018
491,-0.625,0.125,-0.875,4.7903,6.9156,9.2918,11.4448,7.8018
492,0.25,-0.75,0.0,2.2742,10.121,10.8323,11.7088,7.8018
493,0.125,-0.625,-0.125,0.5049,11.0548,13.4053,14.7303,7.8018
494,0.0,-0.5,-0.25,-0.4592,11.6813,13.074,16.5866,7.8018
495,-0.125,-0.375,-0.375,-0.5974,10.0697,14.4266,19.5556,7.8018
496,-0.125,-0.125,-0.375,-1.7096,13.1258,16.6493,18.1733,7.8018
497,-0.25,0.0,-0.5,-0.4592,11.6813,13.074,16.5866,7.8018
498,-0.375,0.125,-0.625,1.6,7.976,12.4019,14.4547,7.8018
499,-0.5,0.25,-0.75,4.312,4.5595,12.8025,13.2583,7.8018
500,0.375,-0.625,0.125,1.6,7.976,12.4019,14.4547,7.8018
501,0.25,-0.5,0.0,-0.4592,11.6813,13.074,16.5866,7.8018
502,0.125,-0.375,-0.125,-1.7096,13.1258,16.6493,18.1733,7.8018
503,0.0,-0.25,-0.25,-2.1289,14.2719,15.501,21.5185,7.8018
504,0.0,0.0,-0.25,-2.6899,17.7115,17.7115,17.9822,7.8018
505,-0.125,0.125,-0.375,-1.7096,13.1258,16.6493,18.1733,7.8018
506,-0.25,0.25,-0.5,0.0932,8.6717,16.3021,17.0303,7.8018
507,-0.375,0.375,-0.625,2.6858,4.8512,15.4059,16.6736,7.8018
508,0.5,-0.5,0.25,1.7376,6.0426,14.5263,17.7646,7.8018
509,0.375,-0.375,0.125,-0.5974,10.0697,14.4266,19.5556,7.8018
510,0.25,-0.25,0.0,-2.1289,14.2719,15.501,21.5185,7.8018
511,0.125,-0.125,-0.125,-2.8306,16.1289,19.4677,19.4677,7.8018
