index,kx_cart_2pi_over_alat,ky_cart_2pi_over_alat,kz_cart_2pi_over_alat,band_1_ev,band_2_ev,band_3_ev,band_4_ev,fermi_ev
134,-0.5938,0.5938,0.3125,3.7095,3.934,14.4547,16.7199,7.8018
135,-0.6094,0.6094,0.2812,3.8684,4.0999,13.6042,16.3828,7.8018
136,-0.625,0.625,0.25,4.0516,4.2904,12.7691,16.0685,7.8018
137,-0.6406,0.6406,0.2188,4.259,4.5048,11.9526,15.7772,7.8018
138,-0.6562,0.6562,0.1875,4.4902,4.7421,11.1571,15.5087,7.8018
139,-0.6719,0.6719,0.1562,4.7449,5.001,10.3855,15.263,7.8018
140,-0.6875,0.6875,0.125,5.0219,5.2791,9.6418,15.0401,7.8018
141,-0.7031,0.7031,0.0938,5.3187,5.5722,8.9334,14.8399,7.8018
142,-0.7188,0.7188,0.0625,5.6262,5.8716,8.2778,14.6624,7.8018
143,-0.7344,0.7344,0.0312,5.9015,6.1679,7.7276,14.5076,7.8018
144,-0.75,0.75,0.0,5.9648,6.4896,7.4341,14.3755,7.8018
