energy_relative_fermi_ev,energy_absolute_ev,dos_states_per_ev_per_cell
-11.660000000000007,-3.858200000000007,3.048393204305799e-06
-11.650000000000007,-3.8482000000000074,3.979999379595478e-06
-11.640000000000008,-3.8382000000000076,5.173266586561661e-06
-11.630000000000008,-3.828200000000008,6.694475476914098e-06
-11.620000000000008,-3.818200000000008,8.624582898202209e-06
-11.610000000000008,-3.8082000000000082,1.1061894353667906e-05
-11.600000000000009,-3.7982000000000085,1.4125075680527237e-05
-11.590000000000009,-3.7882000000000087,1.7956510594735328e-05
-11.580000000000009,-3.778200000000009,2.272600049494283e-05
-11.57000000000001,-3.768200000000009,2.86347899244974e-05
-11.56000000000001,-3.7582000000000093,3.59198851819221e-05
-11.55000000000001,-3.7482000000000095,4.485861466901976e-05
-11.54000000000001,-3.7382000000000097,5.577335772224854e-05
-11.53000000000001,-3.72820000000001,6.903634409891141e-05
-11.52000000000001,-3.71820000000001,8.507439938852932e-05
-11.51000000000001,-3.7082000000000104,0.00010437348301468712
-11.50000000000001,-3.6982000000000106,0.00012748283604818557
-11.49000000000001,-3.688200000000011,0.00015501852688755733
-11.480000000000011,-3.678200000000011,0.00018766615535279632
-11.470000000000011,-3.6682000000000112,0.00022618245150013235
-11.460000000000012,-3.6582000000000114,0.000271395486330039
-11.450000000000012,-3.6482000000000117,0.0003242031995207902
-11.440000000000012,-3.638200000000012,0.00038556994646310336
-11.430000000000012,-3.628200000000012,0.0004565207752894358
-11.420000000000012,-3.6182000000000123,0.0005381331662720219
-11.410000000000013,-3.6082000000000125,0.0006315260026663748
-11.400000000000013,-3.5982000000000127,0.0007378455951976211
-11.390000000000013,-3.588200000000013,0.0008582486528169905
-11.380000000000013,-3.578200000000013,0.0009938821803436957
-11.370000000000013,-3.5682000000000134,0.0011458603886317432
-11.360000000000014,-3.5582000000000136,0.001315238823564664
-11.350000000000014,-3.548200000000014,0.0015029860541348546
-11.340000000000014,-3.538200000000014,0.0017099534037733166
-11.330000000000014,-3.528200000000014,0.0019368433586526472
-11.320000000000014,-3.5182000000000144,0.0021841774366798106
-11.310000000000015,-3.5082000000000146,0.002452264445338196
-11.300000000000015,-3.498200000000015,0.0027411701888525645
-11.290000000000015,-3.488200000000015,0.00305068979841012
-11.280000000000015,-3.4782000000000153,0.0033803239463904887
-11.270000000000016,-3.4682000000000155,0.0037292602600192725
-11.260000000000016,-3.4582000000000157,0.004096361265457237
-11.250000000000016,-3.448200000000016,0.004480160164926947
-11.240000000000016,-3.438200000000016,0.0048788656732057034
-11.230000000000016,-3.4282000000000163,0.005290377013407255
-11.220000000000017,-3.4182000000000166,0.0057123099949728815
-11.210000000000017,-3.4082000000000168,0.006142034870700827
-11.200000000000017,-3.398200000000017,0.006576726397985699
-11.190000000000017,-3.388200000000017,0.007013426217729405
-11.180000000000017,-3.3782000000000174,0.0074491173199643275
-11.170000000000018,-3.3682000000000176,0.00788080999703933
-11.160000000000018,-3.358200000000018,0.008305638303454477
-11.150000000000018,-3.348200000000018,0.008720965657150892
-11.140000000000018,-3.3382000000000183,0.009124497841737345
-11.130000000000019,-3.3282000000000185,0.009514401314190433
-11.120000000000019,-3.3182000000000187,0.009889424398931744
-11.110000000000019,-3.308200000000019,0.010249018666900535
-11.10000000000002,-3.298200000000019,0.01059345756611317
-11.09000000000002,-3.2882000000000193,0.010923949195581567
-11.08000000000002,-3.2782000000000195,0.011242740003102778
-11.07000000000002,-3.2682000000000198,0.011553206143467432
-11.06000000000002,-3.25820000000002,0.011859929259663787
-11.05000000000002,-3.24820000000002,0.012168753546912213
-11.04000000000002,-3.2382000000000204,0.01248682112793728
-11.03000000000002,-3.2282000000000206,0.012822583006987687
-11.020000000000021,-3.218200000000021,0.01318578317830941
-11.010000000000021,-3.208200000000021,0.01358741384019672
-11.000000000000021,-3.1982000000000212,0.014039640106182145
-10.990000000000022,-3.1882000000000215,0.014555693107846806
-10.980000000000022,-3.1782000000000217,0.015149730946139684
-10.970000000000022,-3.168200000000022,0.015836667566273763
-10.960000000000022,-3.158200000000022,0.016631970300398813
-10.950000000000022,-3.1482000000000223,0.01755142753594274
-10.940000000000023,-3.1382000000000225,0.01861088871729006
-10.930000000000023,-3.1282000000000227,0.019825979663255614
-10.920000000000023,-3.118200000000023,0.021211796968533002
-10.910000000000023,-3.108200000000023,0.02278258603657516
-10.900000000000023,-3.0982000000000234,0.024551408043471536
-10.890000000000024,-3.0882000000000236,0.026529801833444652
-10.880000000000024,-3.078200000000024,0.02872744737007889
-10.870000000000024,-3.068200000000024,0.031151837885005782
-10.860000000000024,-3.0582000000000242,0.03380796824852238
-10.850000000000025,-3.0482000000000244,0.036698047306316255
-10.840000000000025,-3.0382000000000247,0.03982124195730037
-10.830000000000025,-3.028200000000025,0.04317346056785384
-10.820000000000025,-3.018200000000025,0.04674718291171681
-10.810000000000025,-3.0082000000000253,0.05053134318408465
-10.800000000000026,-2.9982000000000255,0.054511271763581795
-10.790000000000026,-2.9882000000000257,0.05866870029706968
-10.780000000000026,-2.978200000000026,0.06298183338019185
-10.770000000000026,-2.968200000000026,0.06742548863190291
-10.760000000000026,-2.9582000000000264,0.07197130535411822
-10.750000000000027,-2.9482000000000266,0.07658802027637628
-10.740000000000027,-2.938200000000027,0.0812418071645889
-10.730000000000027,-2.928200000000027,0.08589667538106684
-10.720000000000027,-2.918200000000027,0.09051492087976906
-10.710000000000027,-2.9082000000000274,0.09505762166420177
-10.700000000000028,-2.8982000000000276,0.09948516847917704
-10.690000000000028,-2.888200000000028,0.10375782049802099
-10.680000000000028,-2.878200000000028,0.10783627504067679
-10.670000000000028,-2.8682000000000283,0.11168223994084667
-10.660000000000029,-2.8582000000000285,0.11525899708484479
-10.650000000000029,-2.8482000000000287,0.11853194587105194
-10.640000000000029,-2.838200000000029,0.12146911587404605
-10.63000000000003,-2.828200000000029,0.12404163881703291
-10.62000000000003,-2.8182000000000293,0.126224171025564
-10.61000000000003,-2.8082000000000296,0.1279952588119927
-10.60000000000003,-2.7982000000000298,0.12933764067555406
-10.59000000000003,-2.78820000000003,0.13023848174621316
-10.58000000000003,-2.77820000000003,0.130689537500068
-10.57000000000003,-2.7682000000000304,0.13068724538070914
-10.56000000000003,-2.7582000000000306,0.1302327445291612
-10.550000000000031,-2.748200000000031,0.12933182531515408
-10.540000000000031,-2.738200000000031,0.12799481174139773
