index,kx,ky,kz,band_1_eV,band_2_eV,band_3_eV,band_4_eV,band_5_eV,band_6_eV,band_7_eV,band_8_eV
230,0.618718,-0.088388,-0.618718,-2.466,-0.627,2.768,3.521,7.102,8.175,14.473,14.561
231,0.0,-0.707107,0.0,-1.614,-1.614,3.351,3.351,6.917,6.917,16.309,16.309
232,0.441942,-0.441942,-0.265165,-3.34,-0.545,3.924,4.642,8.4,9.722,10.308,13.579
233,0.53033,-0.353553,-0.353553,-3.585,-0.174,3.743,4.939,8.566,9.831,10.076,14.124
234,0.618718,-0.265165,-0.441942,-3.54,0.362,2.883,4.275,9.085,9.762,11.227,12.145
235,0.707107,-0.176777,-0.53033,-3.165,0.239,2.842,3.445,8.154,8.855,11.962,14.197
236,0.088388,-0.795495,0.088388,-2.466,-0.627,2.768,3.521,7.102,8.175,14.473,14.561
237,0.176777,-0.707107,0.0,-1.536,-1.536,2.787,2.787,8.178,8.178,14.054,14.054
238,0.265165,-0.618718,-0.088388,-2.29,-0.729,2.143,3.244,8.596,10.49,11.484,13.647
239,0.353553,-0.53033,-0.176777,-2.888,-0.583,2.754,4.045,9.274,9.341,12.119,13.329
240,0.53033,-0.53033,-0.176777,-3.04,-0.179,2.67,3.999,7.727,10.658,11.952,12.127
241,0.618718,-0.441942,-0.265165,-3.54,0.362,2.883,4.275,9.085,9.762,11.227,12.145
242,0.707107,-0.353553,-0.353553,-3.714,0.723,2.451,4.876,8.657,10.995,11.343,12.353
243,0.795495,-0.265165,-0.441942,-3.54,0.362,2.883,4.275,9.085,9.762,11.227,12.145
244,0.176777,-0.883883,0.176777,-3.04,-0.179,2.67,3.999,7.727,10.658,11.952,12.127
245,0.265165,-0.795495,0.088388,-2.29,-0.729,2.143,3.244,8.596,10.49,11.484,13.647
246,0.353553,-0.707107,0.0,-1.45,-1.45,2.351,2.351,10.48,10.48,11.209,11.209
247,0.441942,-0.618718,-0.088388,-2.29,-0.729,2.143,3.244,8.596,10.49,11.484,13.647
248,0.618718,-0.618718,-0.088388,-2.466,-0.627,2.768,3.521,7.102,8.175,14.473,14.561
249,0.707107,-0.53033,-0.176777,-3.165,0.239,2.842,3.445,8.154,8.855,11.962,14.197
250,0.795495,-0.441942,-0.265165,-3.54,0.362,2.883,4.275,9.085,9.762,11.227,12.145
251,0.883883,-0.353553,-0.353553,-3.585,-0.174,3.743,4.939,8.566,9.831,10.076,14.124
252,0.265165,-0.972272,0.265165,-3.34,-0.545,3.924,4.642,8.4,9.722,10.308,13.579
253,0.353553,-0.883883,0.176777,-2.888,-0.583,2.754,4.045,9.274,9.341,12.119,13.329
254,0.441942,-0.795495,0.088388,-2.29,-0.729,2.143,3.244,8.596,10.49,11.484,13.647
255,0.53033,-0.707107,0.0,-1.536,-1.536,2.787,2.787,8.178,8.178,14.054,14.054
256,0.0,0.0,-0.707107,-1.614,-1.614,3.351,3.351,6.917,6.917,16.309,16.309
257,0.088388,0.088388,-0.795495,-2.466,-0.627,2.768,3.521,7.102,8.175,14.473,14.561
258,0.176777,0.176777,-0.883883,-3.04,-0.179,2.67,3.999,7.727,10.658,11.952,12.127
259,0.265165,0.265165,-0.972272,-3.34,-0.545,3.924,4.642,8.4,9.722,10.308,13.579
260,-0.353553,-0.353553,-0.353553,-3.427,-0.767,5.006,5.006,7.743,9.547,9.547,13.941
