energy_eV,dos,integrated_dos
9.95,1.86,11.35
10.0,1.768,11.44
10.05,1.713,11.52
10.1,1.657,11.61
10.15,1.599,11.69
10.2,1.521,11.77
10.25,1.449,11.84
10.3,1.359,11.91
10.35,1.317,11.98
10.4,1.282,12.05
10.45,1.249,12.11
10.5,1.216,12.17
10.55,1.181,12.23
10.6,1.141,12.29
10.65,1.133,12.35
10.7,1.171,12.4
10.75,1.223,12.46
10.8,1.331,12.53
10.85,1.192,12.59
10.9,1.101,12.65
10.95,1.028,12.7
11.0,0.9725,12.75
11.05,0.9694,12.8
11.1,1.012,12.85
11.15,1.117,12.91
11.2,1.123,12.97
11.25,1.219,13.02
11.3,1.236,13.09
11.35,1.208,13.15
11.4,1.199,13.21
11.45,1.194,13.27
11.5,1.191,13.33
11.55,1.181,13.39
11.6,1.172,13.44
11.65,1.17,13.5
11.7,1.177,13.56
11.75,1.176,13.62
11.8,1.182,13.68
11.85,1.186,13.74
11.9,1.181,13.8
11.95,1.167,13.86
12.0,1.151,13.91
